customer_id,age,gender,city,state,city_tier,occupation,monthly_income,cricket_interest_score,favorite_ipl_team,favorite_player,Unnamed: 11,preferred_streaming_platform,fantasy_cricket_user,sports_equipment_spending_per_month_x,preferred_shopping_platform_x,cricket_search_frequency_per_month,device_type,digital_engagement_score,likely_to_buy_cricket_kit_x,engagement_id,favorite_match_type,average_match_watch_time_minutes,matches_watched_per_season,preferred_ad_format,ad_click_rate,sports_content_watch_hours_per_week,engagement_during_csk_matches,engagement_during_rcb_matches,engagement_during_mi_matches,streaming_device_preference,second_screen_usage,social_media_activity_during_matches,engagement_potential_score,social_id,preferred_social_media_platform,cricket_reels_watched_per_week,sports_content_likes_per_week,sports_content_shares_per_week,favorite_cricket_content_type,influencer_engagement_level,fantasy_cricket_content_interaction,average_daily_social_media_usage_hours,preferred_content_format,sports_brand_follow_count,social_media_ad_click_rate,purchase_id,preferred_shopping_platform_y,sports_equipment_spending_per_month_y,previous_cricket_gear_purchases,average_order_value,preferred_product_category,purchase_frequency_per_year,discount_sensitivity,cart_abandonment_rate,payment_method_preference,brand_loyalty_level,likely_to_buy_cricket_kit_y
CUST0001,21,Male,Mumbai,Maharashtra,Tier 1,Student,18000,8.7,Mumbai Indians,Rohit Sharma,6,JioHotstar,Yes,2400,Amazon,22,Mobile,84.2,Yes,ENG000001,Rivalry Match,182,61,Short Reel,0.29,18.5,91,95,88,Mobile,Yes,High,93.4,SOC000001,Instagram,42,88,26,Short Reels,High,Yes,5.8,Short Video,18,0.24,PUR000001,Amazon,3200,5,4100,Bats,4,Medium,0.24,UPI,Medium,Yes
CUST0002,34,Female,Bengaluru,Karnataka,Tier 1,Working Professional,72000,6.2,Royal Challengers Bengaluru,Virat Kohli,4,TV,No,1200,Flipkart,10,Laptop,62.8,No,ENG000002,League Match,124,39,Video Ad,0.14,8.2,67,61,59,Laptop,No,Medium,64.2,SOC000002,YouTube,21,34,8,Match Analysis,Medium,No,3.9,Long Video,9,0.11,PUR000002,Flipkart,1800,2,2200,Jerseys,2,High,0.48,Debit Card,Low,No
CUST0003,18,Male,Hyderabad,Telangana,Tier 1,Student,12000,9.1,Sunrisers Hyderabad,Pat Cummins,7,JioHotstar,Yes,3100,Amazon,28,Mobile,91.3,Yes,ENG000003,Playoffs,211,72,Influencer Promotion,0.32,21.4,94,92,90,Mobile,Yes,High,96.7,SOC000003,Instagram,48,102,31,Memes,High,Yes,6.4,Short Video,22,0.27,PUR000003,Brand Website,5400,8,7200,Full Kits,6,Low,0.12,Credit Card,High,Yes
CUST0004,42,Male,Jaipur,Rajasthan,Tier 2,Business,98000,5.4,Rajasthan Royals,Sanju Samson,3,TV,No,1800,Local Store,7,Smart TV,48.9,No,ENG000004,League Match,97,26,Banner Ad,0.07,4.3,52,48,46,Smart TV,No,Low,48.9,SOC000004,Facebook,10,18,3,Player Interviews,Low,No,2.1,Image Post,4,0.04,PUR000004,Local Store,900,1,1100,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
CUST0005,27,Female,Pune,Maharashtra,Tier 1,Working Professional,56000,7.5,Chennai Super Kings,MS Dhoni,5,JioHotstar,Yes,2200,Amazon,16,Mobile,76.4,Yes,ENG000005,Finals,238,76,Short Reel,0.34,24.1,98,96,94,Mobile,Yes,High,98.1,SOC000005,Instagram,55,118,36,Short Reels,High,Yes,7.2,Short Video,26,0.29,PUR000005,Amazon,4100,6,5300,Shoes,5,Medium,0.21,UPI,Medium,Yes
CUST0006,23,Male,Lucknow,Uttar Pradesh,Tier 2,Athlete,28000,8.9,Lucknow Super Giants,KL Rahul,6,JioHotstar,Yes,4200,Brand Website,24,Mobile,88.1,Yes,ENG000006,League Match,146,43,Video Ad,0.16,9.5,69,71,66,Laptop,No,Medium,68.5,SOC000006,YouTube,26,42,10,Tutorials,Medium,No,4.2,Long Video,11,0.12,PUR000006,Brand Website,6200,9,8100,Full Kits,7,Low,0.1,Credit Card,High,Yes
CUST0007,31,Male,Delhi,Delhi,Tier 1,Working Professional,65000,4.8,Delhi Capitals,Rishabh Pant,2,TV,No,900,Flipkart,5,Laptop,44.7,No,ENG000007,Rivalry Match,193,64,Short Reel,0.31,19.7,92,96,89,Mobile,Yes,High,94.6,SOC000007,Instagram,46,96,29,Memes,High,Yes,6.1,Short Video,21,0.25,PUR000007,Flipkart,2400,3,3100,Gloves,3,High,0.43,Debit Card,Medium,No
CUST0008,16,Female,Indore,Madhya Pradesh,Tier 2,Student,8000,7.9,Royal Challengers Bengaluru,Virat Kohli,6,YouTube Highlights,Yes,1400,Amazon,18,Mobile,79.5,Yes,ENG000008,League Match,165,41,Video Ad,0.13,7.9,63,58,61,Smart TV,No,Low,60.4,SOC000008,Twitter,18,28,7,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09,PUR000008,Amazon,3500,5,4700,Bats,4,Medium,0.27,UPI,Medium,Yes
CUST0009,38,Male,Chennai,Tamil Nadu,Tier 1,Coach,85000,8.1,Chennai Super Kings,Ravindra Jadeja,5,TV,No,5100,Brand Website,14,Smart TV,68.2,Yes,ENG000009,Playoffs,201,69,Influencer Promotion,0.28,18.9,90,93,88,Mobile,Yes,High,92.5,SOC000009,Instagram,51,109,34,Short Reels,High,Yes,6.9,Short Video,24,0.28,PUR000009,Local Store,1200,1,1500,Accessories,1,High,0.52,Cash on Delivery,Low,No
CUST0010,25,Male,Ahmedabad,Gujarat,Tier 1,Working Professional,47000,6.8,Gujarat Titans,Shubman Gill,4,JioHotstar,Yes,2500,Amazon,13,Mobile,71.6,Yes,ENG000010,League Match,88,21,Banner Ad,0.05,3.2,44,49,42,Laptop,No,Low,43.8,SOC000010,Facebook,9,16,2,Player Interviews,Low,No,1.9,Image Post,3,0.03,PUR000010,Brand Website,5800,8,7600,Full Kits,6,Low,0.09,Credit Card,High,Yes
