social_id,customer_id,preferred_social_media_platform,cricket_reels_watched_per_week,sports_content_likes_per_week,sports_content_shares_per_week,favorite_cricket_content_type,influencer_engagement_level,fantasy_cricket_content_interaction,average_daily_social_media_usage_hours,preferred_content_format,sports_brand_follow_count,social_media_ad_click_rate
SOC000001,CUST0001,Instagram,42,88,26,Short Reels,High,Yes,5.8,Short Video,18,0.24
SOC000002,CUST0002,YouTube,21,34,8,Match Analysis,Medium,No,3.9,Long Video,9,0.11
SOC000003,CUST0003,Instagram,48,102,31,Memes,High,Yes,6.4,Short Video,22,0.27
SOC000004,CUST0004,Facebook,10,18,3,Player Interviews,Low,No,2.1,Image Post,4,0.04
SOC000005,CUST0005,Instagram,55,118,36,Short Reels,High,Yes,7.2,Short Video,26,0.29
SOC000006,CUST0006,YouTube,26,42,10,Tutorials,Medium,No,4.2,Long Video,11,0.12
SOC000007,CUST0007,Instagram,46,96,29,Memes,High,Yes,6.1,Short Video,21,0.25
SOC000008,CUST0008,Twitter,18,28,7,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000009,CUST0009,Instagram,51,109,34,Short Reels,High,Yes,6.9,Short Video,24,0.28
SOC000010,CUST0010,Facebook,9,16,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000011,CUST0011,Instagram,40,82,23,Memes,High,Yes,5.5,Short Video,17,0.22
SOC000012,CUST0012,YouTube,24,39,9,Match Analysis,Medium,No,4.0,Long Video,10,0.10
SOC000013,CUST0013,Instagram,57,121,38,Short Reels,High,Yes,7.4,Short Video,28,0.30
SOC000014,CUST0014,Twitter,14,25,5,Match Highlights,Medium,No,3.0,Carousel Post,6,0.08
SOC000015,CUST0015,Instagram,53,113,35,Memes,High,Yes,7.0,Short Video,25,0.28
SOC000016,CUST0016,YouTube,29,48,13,Tutorials,Medium,Yes,4.5,Long Video,12,0.14
SOC000017,CUST0017,Instagram,38,76,21,Short Reels,Medium,Yes,5.2,Short Video,16,0.20
SOC000018,CUST0018,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,5,0.05
SOC000019,CUST0019,Instagram,50,105,33,Memes,High,Yes,6.8,Short Video,23,0.27
SOC000020,CUST0020,Twitter,11,19,3,Match Highlights,Low,No,2.5,Carousel Post,4,0.05
SOC000021,CUST0021,Instagram,44,91,28,Short Reels,High,Yes,6.0,Short Video,20,0.24
SOC000022,CUST0022,YouTube,27,45,11,Match Analysis,Medium,Yes,4.3,Long Video,12,0.13
SOC000023,CUST0023,Instagram,58,124,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000024,CUST0024,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000025,CUST0025,Instagram,49,101,30,Short Reels,High,Yes,6.7,Short Video,22,0.26
SOC000026,CUST0026,Twitter,20,31,8,Match Highlights,Medium,Yes,3.7,Carousel Post,8,0.10
SOC000027,CUST0027,YouTube,23,37,8,Tutorials,Medium,No,3.8,Long Video,9,0.10
SOC000028,CUST0028,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000029,CUST0029,Instagram,56,117,37,Memes,High,Yes,7.3,Short Video,27,0.29
SOC000030,CUST0030,Twitter,17,27,6,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000031,CUST0031,Instagram,43,89,25,Short Reels,High,Yes,5.9,Short Video,19,0.23
SOC000032,CUST0032,YouTube,22,35,7,Tutorials,Medium,No,3.7,Long Video,8,0.09
SOC000033,CUST0033,Instagram,59,126,40,Memes,High,Yes,7.8,Short Video,30,0.30
SOC000034,CUST0034,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000035,CUST0035,Instagram,54,115,36,Short Reels,High,Yes,7.1,Short Video,26,0.29
SOC000036,CUST0036,YouTube,30,51,14,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000037,CUST0037,Twitter,16,26,5,Match Highlights,Medium,No,3.2,Carousel Post,6,0.08
SOC000038,CUST0038,Facebook,14,23,5,Player Interviews,Low,No,2.7,Image Post,5,0.05
SOC000039,CUST0039,Instagram,52,111,34,Memes,High,Yes,6.9,Short Video,24,0.28
SOC000040,CUST0040,Twitter,10,17,3,Match Highlights,Low,No,2.3,Carousel Post,4,0.04
SOC000041,CUST0041,Instagram,45,94,29,Short Reels,High,Yes,6.2,Short Video,21,0.25
SOC000042,CUST0042,YouTube,25,41,10,Tutorials,Medium,Yes,4.1,Long Video,11,0.12
SOC000043,CUST0043,Instagram,57,122,38,Memes,High,Yes,7.5,Short Video,28,0.30
SOC000044,CUST0044,Facebook,12,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
SOC000045,CUST0045,Instagram,50,106,32,Short Reels,High,Yes,6.8,Short Video,23,0.27
SOC000046,CUST0046,YouTube,28,47,12,Match Analysis,High,Yes,4.6,Long Video,12,0.14
SOC000047,CUST0047,Twitter,18,29,7,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000048,CUST0048,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000049,CUST0049,Instagram,55,119,37,Memes,High,Yes,7.3,Short Video,27,0.29
SOC000050,CUST0050,Twitter,17,28,6,Match Analysis,Medium,Yes,3.6,Carousel Post,7,0.09
SOC000051,CUST0051,Instagram,42,87,24,Short Reels,High,Yes,5.7,Short Video,18,0.23
SOC000052,CUST0052,YouTube,24,38,8,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000053,CUST0053,Instagram,58,123,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000054,CUST0054,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000055,CUST0055,Instagram,53,114,35,Short Reels,High,Yes,7.0,Short Video,25,0.28
SOC000056,CUST0056,YouTube,29,49,13,Match Analysis,High,Yes,4.7,Long Video,13,0.15
SOC000057,CUST0057,Twitter,15,24,5,Match Highlights,Medium,No,3.1,Carousel Post,6,0.08
SOC000058,CUST0058,Facebook,14,24,5,Player Interviews,Low,No,2.8,Image Post,5,0.05
SOC000059,CUST0059,Instagram,51,108,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000060,CUST0060,Twitter,11,18,3,Match Highlights,Low,No,2.4,Carousel Post,4,0.05
SOC000061,CUST0061,Instagram,44,92,27,Short Reels,High,Yes,6.0,Short Video,20,0.24
SOC000062,CUST0062,YouTube,26,43,10,Tutorials,Medium,Yes,4.2,Long Video,11,0.12
SOC000063,CUST0063,Instagram,59,125,40,Memes,High,Yes,7.8,Short Video,30,0.30
SOC000064,CUST0064,Facebook,10,17,3,Player Interviews,Low,No,2.0,Image Post,4,0.04
SOC000065,CUST0065,Instagram,54,116,36,Short Reels,High,Yes,7.2,Short Video,26,0.29
SOC000066,CUST0066,YouTube,31,52,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000067,CUST0067,Twitter,16,25,5,Match Highlights,Medium,No,3.2,Carousel Post,6,0.08
SOC000068,CUST0068,Facebook,13,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
